,score,O080,R101,R105,R106
2021-12-01,0.30734650993489754,0.5771532656778559,0.4019019019019019,0.1001306051371354,0.15020026702269695
2021-12-02,0.30730173529281024,0.5858480749219563,0.40370185092546274,0.09355961705831158,0.14609739826551038
2021-12-03,0.3038067186539897,0.5841352405721716,0.41100000000000003,0.07742496737712048,0.14266666666666672
2021-12-04,0.3065003776240553,0.5803432137285491,0.43328335832083953,0.0791304347826087,0.1332445036642238
2021-12-05,0.31588494032598907,0.5788926436184039,0.465034965034965,0.08778791829639288,0.13182423435419444
2021-12-06,0.3197576598212917,0.5865384615384616,0.47978032950574134,0.08297132927888792,0.12974051896207583
2021-12-07,0.3142125269451205,0.5510522213561964,0.4945109780439122,0.08163265306122448,0.12965425531914898
2021-12-08,0.32931781941436444,0.6020779220779221,0.5077306733167082,0.07855902777777778,0.1289036544850498
2021-12-09,0.3362631661518335,0.6211373669176837,0.5209371884346958,0.0754880694143167,0.12749003984063745
2021-12-10,0.33874623505827095,0.5991692627206646,0.5490782262082711,0.08065915004336513,0.126078301260783
2021-12-11,0.3348514291894295,0.5712431871269141,0.5587649402390438,0.08539228435197226,0.1240053050397878
2021-12-12,0.3336166780111487,0.5648676699532953,0.5659532105525137,0.07972270363951472,0.12392312789927107
2021-12-13,0.3382821203436338,0.574059662775616,0.5716417910447762,0.08358596795149416,0.12384105960264902
2021-12-14,0.33816345648224966,0.5741701244813278,0.5768274490303331,0.07922077922077922,0.12243547319655856
2021-12-15,0.3396349747695029,0.5807622504537204,0.5775347912524851,0.07788836001730852,0.12235449735449733
2021-12-16,0.3448720622421815,0.604199066874028,0.5762543467461501,0.07742214532871973,0.1216126900198281
2021-12-17,0.340105113121963,0.5869396216636434,0.5784508440913605,0.07349762213575443,0.12153236459709382
2021-12-18,0.3412502869003197,0.5896373056994819,0.5826302729528536,0.07260155574762317,0.12013201320132016
2021-12-19,0.3494518159385119,0.6244496244496245,0.5868055555555556,0.06781857451403887,0.1187335092348285
2021-12-20,0.35468547528632854,0.6393060590367685,0.5865146256817055,0.07426597582037997,0.11865524060646016
2021-12-21,0.35188236073005497,0.6308568470100957,0.5862239841427155,0.07121277514026758,0.11923583662714099
2021-12-22,0.3528922365602414,0.6268115942028986,0.5894006934125805,0.0729076790336497,0.12244897959183676
2021-12-23,0.3598729005253967,0.6489003880983182,0.5920792079207922,0.07416990081931867,0.12434210526315792
2021-12-24,0.3581170702321251,0.6277806518365235,0.5987135081642752,0.07974137931034483,0.12623274161735698
2021-12-25,0.3586669759053307,0.6232221360227567,0.6053412462908012,0.07798362774666093,0.1281208935611038
2021-12-26,0.34663129444955837,0.5522233712512927,0.6183885318833415,0.08656330749354005,0.1293499671700591
2021-12-27,0.3645436138844462,0.6156629620056862,0.6195652173913043,0.09040034438226431,0.13254593175853013
2021-12-28,0.3579076373836658,0.5741602067183462,0.6246913580246913,0.0963855421686747,0.13639344262295083
2021-12-29,0.357014298300651,0.5706535778868509,0.6253701875616979,0.09376344086021506,0.13826998689384007
2021-12-30,0.3577487278242334,0.5790289256198347,0.6295017266896892,0.08297506448839209,0.13948919449901764
2021-12-31,0.37516919921886704,0.6387813064807643,0.6326429980276134,0.08723678556080791,0.14201570680628273
2022-01-01,0.38334092669365527,0.6737222509034589,0.6347954657466732,0.08161512027491409,0.1432308698495749
2022-01-02,0.3905655043020161,0.6761290322580645,0.6467980295566502,0.0948905109489051,0.1444444444444445
2022-01-03,0.38780620422379175,0.674406604747162,0.6287543082225504,0.09914163090128755,0.14892227302416716
2022-01-04,0.37113430687024074,0.6404436419912303,0.6023622047244095,0.09094809094809095,0.15078328981723232
2022-01-05,0.3688460607835642,0.629190304280557,0.5892769306443679,0.09905660377358491,0.1578604044357469
2022-01-06,0.3748306704053669,0.6604795050270689,0.5850540806293019,0.09472781825975139,0.1590612777053455
2022-01-07,0.3608201479320463,0.5868556701030928,0.5862407862407862,0.10796915167095116,0.16221498371335508
2022-01-08,0.3615707067688617,0.5740788456583354,0.5952848722986248,0.11220556745182013,0.16471354166666663
2022-01-09,0.3618165975649432,0.5749613601236476,0.6008836524300442,0.10616438356164383,0.16525699414443717
2022-01-10,0.3713955286492616,0.6015967035797064,0.6128557409224731,0.10012836970474968,0.17100130039011707
2022-01-11,0.370654320249015,0.5947476828012359,0.6027464443354585,0.111633875106929,0.1734892787524367
2022-01-12,0.3846769064815679,0.635006435006435,0.6191176470588236,0.10731081658828559,0.17727272727272725
2022-01-13,0.3895198422730616,0.6224909933093155,0.6300832925036747,0.11666666666666667,0.18883841661258927
2022-01-14,0.3885097030403037,0.6066375096475431,0.638099902056807,0.11020931225971807,0.19909208819714652
2022-01-15,0.39384027643824626,0.5799897119341564,0.6465981399902105,0.11870196413321947,0.23007128969539858
2022-01-16,0.40044678199715494,0.5752121367960916,0.6545988258317026,0.12974818608621425,0.24222797927461137
2022-01-17,0.4028843696028793,0.5660668380462726,0.6557457212713936,0.125,0.2647249190938511
2022-01-18,0.4195840138139664,0.6124389617065022,0.6524926686217009,0.1275053304904051,0.2858990944372575
2022-01-19,0.42256770733605636,0.618191161356629,0.6521739130434783,0.12190963341858482,0.29799612152553334
2022-01-20,0.42849069016506414,0.6529668636013357,0.65234375,0.1043885811674478,0.30426356589147285
2022-01-21,0.42241429475983794,0.6335387776065742,0.6564177647632992,0.09369676320272573,0.30600387346675273
2022-01-22,0.4060678334261567,0.5753530166880616,0.6609756097560975,0.08471690080885483,0.3032258064516129
2022-01-23,0.41322614796753304,0.608829568788501,0.6674792784007801,0.07872340425531915,0.2978723404255319
2022-01-24,0.4146851332448191,0.6145753143443675,0.6754385964912281,0.06975754997873246,0.2989690721649485
2022-01-25,0.4223355299584536,0.6457157516675218,0.6751095957135899,0.06845238095238096,0.30006439150032194
2022-01-26,0.42692404673782636,0.647345473198256,0.6835443037974683,0.07564810879728007,0.3011583011583011
2022-01-27,0.4408986559689018,0.7120512820512821,0.6851581508515815,0.06542056074766354,0.30096463022508035
2022-01-28,0.45410350065965305,0.7585234555242246,0.6853112840466926,0.06666666666666667,0.3059125964010283
2022-01-29,0.45273351146279894,0.730138390568939,0.6869227029654836,0.07852292020373515,0.3153500321130379
2022-01-30,0.4532442778234841,0.7440430438124519,0.6895043731778425,0.06364022061943148,0.3157894736842105
2022-01-31,0.4430906533612765,0.6857069672131147,0.6911121903836814,0.07803223070398643,0.3175112251443233
2022-02-01,0.4462137535892644,0.6857874519846351,0.6927184466019418,0.08647732089868589,0.31987179487179485
2022-02-02,0.4442058978399998,0.6799795186891961,0.6943231441048034,0.08093220338983051,0.3215887251761691
2022-02-03,0.4527179593049363,0.7112874328129,0.6935014548981571,0.08598051673019907,0.32010243277848915
2022-02-04,0.4553556822150052,0.6967758444216992,0.698012603005332,0.10033869602032176,0.3262955854126679
2022-02-05,0.4532776659517476,0.6876438986953185,0.6967054263565892,0.09564113415150233,0.3331202046035806
2022-02-06,0.4561809038579331,0.710230179028133,0.6978208232445521,0.08248730964467005,0.33418530351437703
