,score,N005,M018,M096t,M068
2021-09-18,0.5062943281360913,0.30792682926829273,0.5228807201800449,0.39245283018867927,0.8019169329073482
2021-09-19,0.5633295485648415,0.7067783701447068,0.6071964017991005,0.3619909502262444,0.5773524720893142
2021-09-20,0.7020286637993606,0.9558599695585996,0.9827715355805243,0.3933685003767897,0.4761146496815286
2021-09-21,0.8032772030070763,0.976425855513308,0.9266467065868264,0.7567771084337349,0.5532591414944357
2021-09-22,0.8050773224041328,0.9042553191489362,0.6282722513089005,0.8607975921745673,0.8269841269841269
2021-09-23,0.7293249851199608,0.8876233864844343,0.5014947683109119,0.7563909774436091,0.7717908082408875
2021-09-24,0.7362315096678429,0.9150227617602428,0.7079910380881255,0.6731780616078137,0.6487341772151899
2021-09-25,0.7527134381786327,0.6504927975739196,0.717910447761194,0.7372372372372372,0.9052132701421801
2021-09-26,0.5181175762608954,0.2598484848484849,0.662938105891126,0.7569392348087022,0.39274447949526814
2021-09-27,0.7626464851640447,0.7607872823618471,0.7727272727272727,0.7706146926536732,0.7464566929133858
2021-09-28,0.8550105961354098,0.9062027231467473,0.8897989575577067,0.7812734082397004,0.8427672955974843
2021-09-29,0.7498101719224206,0.7218442932728647,0.8400297619047619,0.8031437125748503,0.6342229199372056
2021-09-30,0.6677557555386434,0.37688821752265866,0.5933085501858736,0.881077038145101,0.8197492163009404
2021-10-01,0.3729051936791268,0.07245283018867921,0.08841010401188709,0.7548579970104634,0.5758998435054773
2021-10-02,0.21964793023517548,0.06184012066365008,0.10616184112843352,0.34652725914861837,0.36406249999999996
2021-10-03,0.2787523791182518,0.03240391861341374,0.13353115727002962,0.4014925373134328,0.5475819032761311
2021-10-04,0.2751690649644614,0.032379518072289115,0.023721275018532273,0.34675615212527966,0.6978193146417446
2021-10-05,0.16703757650627804,0.04288939051918739,0.028888888888888853,0.28688524590163933,0.3094867807153966
2021-10-06,0.26133242000478857,0.06766917293233088,0.04663212435233166,0.21518987341772156,0.7158385093167702
2021-10-07,0.31420789165366536,0.09090909090909094,0.19304733727810652,0.1294642857142857,0.8434108527131783
2021-10-08,0.2047701736475942,0.10510510510510507,0.19660014781966006,0.1613382899628253,0.3560371517027864
2021-10-09,0.2378574422046192,0.10877719429857469,0.10044313146233386,0.18424962852897475,0.5579598145285936
2021-10-10,0.22676211985105518,0.2766116941529235,0.1505535055350553,0.19747587230883445,0.28240740740740744
2021-10-11,0.2568095986554867,0.4,0.016224188790560423,0.19807121661721072,0.4129429892141756
2021-10-12,0.3040741537136412,0.3869760479041916,0.13043478260869568,0.11119347664936985,0.5876923076923077
2021-10-13,0.2868824333294061,0.2722513089005235,0.024300441826215047,0.2088888888888889,0.642089093701997
2021-10-14,0.3224470761455569,0.37668161434977576,0.09933774834437081,0.2094744633604737,0.6042944785276074
2021-10-15,0.24831807587893437,0.09559372666168786,0.10147058823529409,0.19896449704142016,0.5972434915773354
2021-10-16,0.23292858720728132,0.3097014925373134,0.17707567964731818,0.11160384331116036,0.33333333333333337
2021-10-17,0.2036035870665214,0.1633109619686801,0.1108663729809104,0.0974889217134417,0.4427480916030534
2021-10-18,0.34311466929232215,0.2391952309985097,0.08437270726338963,0.11291512915129154,0.9359756097560976
2021-10-19,0.29980611011237424,0.1236038719285183,0.008797653958944274,0.14749262536873153,0.9193302891933028
2021-10-20,0.19152058021820945,0.29092261904761907,0.09157509157509158,0.07811348563006637,0.30547112462006076
2021-10-21,0.36615278965685244,0.533085501858736,0.4260614934114202,0.06995581737849776,0.43550834597875565
2021-10-22,0.46876972638112746,0.712481426448737,0.5435259692757863,0.14937454010301687,0.4696969696969697
2021-10-23,0.41676098995138106,0.6993318485523385,0.5080409356725146,0.16617647058823526,0.2934947049924357
2021-10-24,0.44811209511162087,0.8390207715133531,0.5339663988312637,0.17927994121969137,0.24018126888217528
2021-10-25,0.41220782000155787,0.8206078576723499,0.362043795620438,0.1901615271659325,0.27601809954751133
2021-10-26,0.6056435966915426,0.7807407407407407,0.5813274981765135,0.13279530447542187,0.927710843373494
2021-10-27,0.5999353923456796,0.8016284233900814,0.8899416909620992,0.18035190615835772,0.5278195488721804
2021-10-28,0.42966724662898126,0.6834319526627219,0.6380189366351057,0.2395604395604396,0.1576576576576577
2021-10-29,0.3315276652510729,0.50849963045085,0.5087336244541485,0.2174231332357247,0.09145427286356822
2021-10-30,0.4188704307381888,0.7282127031019202,0.5345454545454545,0.1806876371616679,0.23203592814371254
2021-10-31,0.44567318276393475,0.537269372693727,0.5690406976744187,0.16666666666666663,0.5097159940209268
2021-11-01,0.5259709963645852,0.4033923303834809,0.607843137254902,0.16727538349159976,0.9253731343283582
2021-11-02,0.2856057740167309,0.4016212232866617,0.40928882438316405,0.18248175182481752,0.1490312965722802
2021-11-03,0.3148689350602012,0.5721649484536082,0.4191443074691805,0.1327498176513494,0.13541666666666663
2021-11-04,0.3532059295838149,0.6629874908020603,0.4101449275362319,0.18367346938775508,0.15601783060921248
2021-11-05,0.46741305824659357,0.6507352941176471,0.4634322954380884,0.1842680262199563,0.5712166172106825
2021-11-06,0.43443894048505893,0.5657604702424688,0.3986975397973951,0.21033478893740898,0.5629629629629629
2021-11-07,0.30320041497503086,0.6336270190895741,0.15184381778741862,0.18472727272727274,0.242603550295858
2021-11-08,0.12572367801799575,0.24944974321349966,0.018063583815028927,0.14970930232558144,0.08567208271787297
2021-11-09,0.16633051616959932,0.18768328445747806,0.16750902527075817,0.06971677559912859,0.24041297935103245
2021-11-10,0.35382520071296575,0.31062271062271063,0.3867243867243867,0.15094339622641506,0.5670103092783505
2021-11-11,0.3789149514439616,0.3850658857979502,0.5234318673395819,0.11892675852066714,0.4882352941176471
2021-11-12,0.5394590846198318,0.6364301389904901,0.5684438040345821,0.17028985507246375,0.7826725403817915
2021-11-13,0.4465328273105069,0.8771929824561404,0.5529157667386608,0.19913106444605355,0.156891495601173
2021-11-14,0.3833039011457907,0.7991234477720964,0.4374100719424461,0.17076700434153402,0.12591508052708633
2021-11-15,0.48434917308817693,0.7868613138686131,0.6549245147375988,0.20028922631959512,0.29532163742690054
2021-11-16,0.5604829448089002,0.9153902261123268,0.8915229885057472,0.21604046242774566,0.21897810218978098
2021-11-17,0.6894561640019571,0.8848396501457726,0.8664752333094041,0.3898916967509025,0.6166180758017492
2021-11-18,0.6855238534461932,0.9599417334304443,0.9956958393113343,0.36724386724386726,0.4192139737991266
2021-11-19,0.6956882947036951,0.9570596797671034,0.8681003584229391,0.6683489545782264,0.2892441860465116
2021-11-20,0.6985472566483855,0.8894545454545455,0.7435530085959885,0.489193083573487,0.6719883889695211
2021-11-21,0.5532997375783899,0.7863372093023255,0.8317823908375089,0.4211663066954644,0.17391304347826086
