,score,M066
2017-04-05,0.375507835171213,0.375507835171213
2017-04-06,0.3781902552204176,0.3781902552204176
2017-04-07,0.3652173913043478,0.3652173913043478
2017-04-08,0.3667439165701043,0.3667439165701043
2017-04-09,0.36768963520555875,0.36768963520555875
2017-04-10,0.36168981481481477,0.36168981481481477
2017-04-11,0.3626373626373627,0.3626373626373627
2017-04-12,0.35838150289017345,0.35838150289017345
2017-04-13,0.36279607163489314,0.36279607163489314
2017-04-14,0.3729792147806005,0.3729792147806005
2017-04-15,0.3727639930755915,0.3727639930755915
2017-04-16,0.37427912341407155,0.37427912341407155
2017-04-17,0.375792507204611,0.375792507204611
2017-04-18,0.369815668202765,0.369815668202765
2017-04-19,0.36787564766839376,0.36787564766839376
2017-04-20,0.36766398158803226,0.36766398158803226
2017-04-21,0.3599769982748706,0.3599769982748706
2017-04-22,0.3568965517241379,0.3568965517241379
2017-04-23,0.35898908673176333,0.35898908673176333
2017-04-24,0.35820895522388063,0.35820895522388063
2017-04-25,0.35570854847963285,0.35570854847963285
2017-04-26,0.35435779816513757,0.35435779816513757
2017-04-27,0.3518624641833811,0.3518624641833811
2017-04-28,0.3447880870561283,0.3447880870561283
2017-04-29,0.34459072696050375,0.34459072696050375
2017-04-30,0.3443935926773455,0.3443935926773455
2017-05-01,0.34076615208690675,0.34076615208690675
2017-05-02,0.3354285714285714,0.3354285714285714
2017-05-03,0.33238149628783553,0.33238149628783553
2017-05-04,0.3259132420091324,0.3259132420091324
2017-05-05,0.32515687393040504,0.32515687393040504
2017-05-06,0.3261117445838084,0.3261117445838084
2017-05-07,0.32307692307692304,0.32307692307692304
2017-05-08,0.32801822323462415,0.32801822323462415
2017-05-09,0.31474103585657376,0.31474103585657376
2017-05-10,0.3128555176336746,0.3128555176336746
2017-05-11,0.31040363843092666,0.31040363843092666
2017-05-12,0.3090909090909091,0.3090909090909091
2017-05-13,0.31572969903463943,0.31572969903463943
2017-05-14,0.31157775255391595,0.31157775255391595
2017-05-15,0.3108338060124787,0.3108338060124787
2017-05-16,0.314625850340136,0.314625850340136
2017-05-17,0.31218130311614734,0.31218130311614734
2017-05-18,0.3097395243488109,0.3097395243488109
2017-05-19,0.30616864742501415,0.30616864742501415
