fid,name,system,sign,price,horizon,window,slice,n,n_eff,ic,lo,hi,signed_ic,sign_ok,ci_excludes_0,status
O013,Mcap / thermocap,cycle,-1,cm,180,dev,ex_2017,3824,21.2,-0.4139,-0.5856,-0.2173,0.4139,True,True,ok
O013,Mcap / thermocap,cycle,-1,cm,180,dev,since_2022,185,1.0,,,,,,,insufficient
O013,Mcap / thermocap,cycle,-1,cm,180,holdout,full,1150,6.4,,,,,,,insufficient
O013,Mcap / thermocap,cycle,-1,cm,365,dev,full,4184,11.5,-0.5288,-0.7327,-0.2652,0.5288,True,True,ok
O013,Mcap / thermocap,cycle,-1,cm,365,dev,ex_2020-03_2022-01,3148,8.6,-0.4202,-0.6964,-0.098,0.4202,True,True,ok
O013,Mcap / thermocap,cycle,-1,cm,365,dev,ex_2017,3454,9.5,-0.5347,-0.7124,-0.3199,0.5347,True,True,ok
O013,Mcap / thermocap,cycle,-1,cm,365,dev,since_2022,0,0.0,,,,,,,insufficient
O013,Mcap / thermocap,cycle,-1,cm,365,holdout,full,965,2.6,,,,,,,insufficient
O011,Realized cap 90d change,cycle,1,cm,1,dev,full,4458,4458.0,0.0537,0.0216,0.0788,0.0537,True,True,ok
O011,Realized cap 90d change,cycle,1,cm,1,dev,ex_2020-03_2022-01,3755,3755.0,0.0624,0.031,0.099,0.0624,True,True,ok
O011,Realized cap 90d change,cycle,1,cm,1,dev,ex_2017,4092,4092.0,0.0425,0.0109,0.0778,0.0425,True,True,ok
O011,Realized cap 90d change,cycle,1,cm,1,dev,since_2022,364,364.0,-0.028,-0.1014,0.04,-0.028,False,False,ok
O011,Realized cap 90d change,cycle,1,cm,1,holdout,full,1329,1329.0,-0.0053,-0.0449,0.0302,-0.0053,False,False,ok
O011,Realized cap 90d change,cycle,1,cm,7,dev,full,4452,636.0,0.0853,0.0126,0.1594,0.0853,True,True,ok
O011,Realized cap 90d change,cycle,1,cm,7,dev,ex_2020-03_2022-01,3743,534.7,0.0989,0.0076,0.1765,0.0989,True,True,ok
O011,Realized cap 90d change,cycle,1,cm,7,dev,ex_2017,4080,582.9,0.0591,-0.0102,0.1346,0.0591,True,False,ok
O011,Realized cap 90d change,cycle,1,cm,7,dev,since_2022,358,51.1,-0.1329,-0.3016,0.0836,-0.1329,False,False,ok
O011,Realized cap 90d change,cycle,1,cm,7,holdout,full,1323,189.0,-0.0462,-0.1464,0.0597,-0.0462,False,False,ok
O011,Realized cap 90d change,cycle,1,cm,30,dev,full,4429,147.6,0.0823,-0.0354,0.1984,0.0823,True,False,ok
O011,Realized cap 90d change,cycle,1,cm,30,dev,ex_2020-03_2022-01,3697,123.2,0.0963,-0.0537,0.233,0.0963,True,False,ok
O011,Realized cap 90d change,cycle,1,cm,30,dev,ex_2017,4034,134.5,0.0399,-0.0788,0.1732,0.0399,True,False,ok
O011,Realized cap 90d change,cycle,1,cm,30,dev,since_2022,335,11.2,,,,,,,insufficient
O011,Realized cap 90d change,cycle,1,cm,30,holdout,full,1300,43.3,-0.1963,-0.3529,-0.0223,-0.1963,False,True,ok
O011,Realized cap 90d change,cycle,1,cm,90,dev,full,4369,48.5,0.1364,-0.0874,0.3311,0.1364,True,False,ok
O011,Realized cap 90d change,cycle,1,cm,90,dev,ex_2020-03_2022-01,3577,39.7,0.1679,-0.073,0.4029,0.1679,True,False,ok
O011,Realized cap 90d change,cycle,1,cm,90,dev,ex_2017,3914,43.5,0.0727,-0.1419,0.2879,0.0727,True,False,ok
O011,Realized cap 90d change,cycle,1,cm,90,dev,since_2022,275,3.1,,,,,,,insufficient
O011,Realized cap 90d change,cycle,1,cm,90,holdout,full,1240,13.8,,,,,,,insufficient
