,score,O102,O103,O080,M115,M106,M107,M109,M110,M105,M015,N003,O046,O049,O113,O115,M096,M088,O066,N004
1961-08-05,,,,,,,,,,0.8804347826086957,,,,,,,,,,
1961-08-06,,,,,,,,,,0.8788426763110307,,,,,,,,,,
1961-08-07,,,,,,,,,,0.8772563176895307,,,,,,,,,,
1961-08-08,,,,,,,,,,0.8756756756756757,,,,,,,,,,
1961-08-09,,,,,,,,,,0.8741007194244604,,,,,,,,,,
1961-08-10,,,,,,,,,,0.8725314183123878,,,,,,,,,,
1961-08-11,,,,,,,,,,0.8709677419354839,,,,,,,,,,
1961-08-12,,,,,,,,,,0.8694096601073346,,,,,,,,,,
1961-08-13,,,,,,,,,,0.8678571428571429,,,,,,,,,,
1961-08-14,,,,,,,,,,0.8663101604278075,,,,,,,,,,
1961-08-15,,,,,,,,,,0.8647686832740213,,,,,,,,,,
1961-08-16,,,,,,,,,,0.8632326820603907,,,,,,,,,,
1961-08-17,,,,,,,,,,0.8617021276595744,,,,,,,,,,
1961-08-18,,,,,,,,,,0.8601769911504424,,,,,,,,,,
1961-08-19,,,,,,,,,,0.8586572438162544,,,,,,,,,,
1961-08-20,,,,,,,,,,0.8571428571428571,,,,,,,,,,
1961-08-21,,,,,,,,,,0.8556338028169014,,,,,,,,,,
1961-08-22,,,,,,,,,,0.8541300527240774,,,,,,,,,,
1961-08-23,,,,,,,,,,0.8526315789473684,,,,,,,,,,
1961-08-24,,,,,,,,,,0.851138353765324,,,,,,,,,,
1961-08-25,,,,,,,,,,0.8496503496503497,,,,,,,,,,
1961-08-26,,,,,,,,,,0.8481675392670157,,,,,,,,,,
1961-08-27,,,,,,,,,,0.8466898954703833,,,,,,,,,,
1961-08-28,,,,,,,,,,0.8452173913043478,,,,,,,,,,
1961-08-29,,,,,,,,,,0.84375,,,,,,,,,,
1961-08-30,,,,,,,,,,0.8422876949740035,,,,,,,,,,
1961-08-31,,,,,,,,,,0.8408304498269896,,,,,,,,,,
1961-09-01,,,,,,,,,,0.8393782383419689,,,,,,,,,,
1961-09-02,,,,,,,,,,0.8379310344827586,,,,,,,,,,
1961-09-03,,,,,,,,,,0.8364888123924269,,,,,,,,,,
1961-09-04,,,,,,,,,,0.8350515463917526,,,,,,,,,,
1961-09-05,,,,,,,,,,0.8336192109777015,,,,,,,,,,
1961-09-06,,,,,,,,,,0.8321917808219178,,,,,,,,,,
1961-09-07,,,,,,,,,,0.8307692307692308,,,,,,,,,,
1961-09-08,,,,,,,,,,0.8293515358361775,,,,,,,,,,
1961-09-09,,,,,,,,,,0.82793867120954,,,,,,,,,,
1961-09-10,,,,,,,,,,0.826530612244898,,,,,,,,,,
1961-09-11,,,,,,,,,,0.8251273344651953,,,,,,,,,,
1961-09-12,,,,,,,,,,0.823728813559322,,,,,,,,,,
1961-09-13,,,,,,,,,,0.8223350253807107,,,,,,,,,,
1961-09-14,,,,,,,,,,0.8209459459459459,,,,,,,,,,
1961-09-15,,,,,,,,,,0.8195615514333895,,,,,,,,,,
1961-09-16,,,,,,,,,,0.8181818181818182,,,,,,,,,,
1961-09-17,,,,,,,,,,0.8168067226890756,,,,,,,,,,
1961-09-18,,,,,,,,,,0.8154362416107382,,,,,,,,,,
1961-09-19,,,,,,,,,,0.8140703517587939,,,,,,,,,,
1961-09-20,,,,,,,,,,0.8127090301003345,,,,,,,,,,
1961-09-21,,,,,,,,,,0.8113522537562604,,,,,,,,,,
1961-09-22,,,,,,,,,,0.81,,,,,,,,,,
1961-09-23,,,,,,,,,,0.8086522462562395,,,,,,,,,,
1961-09-24,,,,,,,,,,0.8073089700996677,,,,,,,,,,
1961-09-25,,,,,,,,,,0.8059701492537313,,,,,,,,,,
1961-09-26,,,,,,,,,,0.804635761589404,,,,,,,,,,
1961-09-27,,,,,,,,,,0.8033057851239669,,,,,,,,,,
1961-09-28,,,,,,,,,,0.801980198019802,,,,,,,,,,
1961-09-29,,,,,,,,,,0.800658978583196,,,,,,,,,,
1961-09-30,,,,,,,,,,0.7993421052631579,,,,,,,,,,
1961-10-01,,,,,,,,,,0.8489326765188834,,,,,,,,,,
1961-10-02,,,,,,,,,,0.8475409836065574,,,,,,,,,,
1961-10-03,,,,,,,,,,0.8461538461538461,,,,,,,,,,
1961-10-04,,,,,,,,,,0.8447712418300654,,,,,,,,,,
1961-10-05,,,,,,,,,,0.8433931484502447,,,,,,,,,,
1961-10-06,,,,,,,,,,0.8420195439739414,,,,,,,,,,
1961-10-07,,,,,,,,,,0.8406504065040651,,,,,,,,,,
1961-10-08,,,,,,,,,,0.8392857142857143,,,,,,,,,,
1961-10-09,,,,,,,,,,0.8379254457050244,,,,,,,,,,
1961-10-10,,,,,,,,,,0.8365695792880259,,,,,,,,,,
1961-10-11,,,,,,,,,,0.8352180936995154,,,,,,,,,,
1961-10-12,,,,,,,,,,0.8338709677419355,,,,,,,,,,
1961-10-13,,,,,,,,,,0.8325281803542673,,,,,,,,,,
1961-10-14,,,,,,,,,,0.8311897106109325,,,,,,,,,,
1961-10-15,,,,,,,,,,0.8298555377207063,,,,,,,,,,
1961-10-16,,,,,,,,,,0.8285256410256411,,,,,,,,,,
1961-10-17,,,,,,,,,,0.8272,,,,,,,,,,
1961-10-18,,,,,,,,,,0.8258785942492013,,,,,,,,,,
1961-10-19,,,,,,,,,,0.8245614035087719,,,,,,,,,,
1961-10-20,,,,,,,,,,0.8232484076433121,,,,,,,,,,
1961-10-21,,,,,,,,,,0.821939586645469,,,,,,,,,,
1961-10-22,,,,,,,,,,0.8206349206349206,,,,,,,,,,
1961-10-23,,,,,,,,,,0.8193343898573693,,,,,,,,,,
1961-10-24,,,,,,,,,,0.8180379746835443,,,,,,,,,,
1961-10-25,,,,,,,,,,0.8167456556082149,,,,,,,,,,
1961-10-26,,,,,,,,,,0.8154574132492114,,,,,,,,,,
1961-10-27,,,,,,,,,,0.8141732283464567,,,,,,,,,,
1961-10-28,,,,,,,,,,0.8128930817610063,,,,,,,,,,
1961-10-29,,,,,,,,,,0.8116169544740973,,,,,,,,,,
1961-10-30,,,,,,,,,,0.8103448275862069,,,,,,,,,,
1961-10-31,,,,,,,,,,0.8560250391236307,,,,,,,,,,
1961-11-01,,,,,,,,,,0.8546875,,,,,,,,,,
1961-11-02,,,,,,,,,,0.8533541341653667,,,,,,,,,,
1961-11-03,,,,,,,,,,0.8520249221183801,,,,,,,,,,
1961-11-04,,,,,,,,,,0.8506998444790047,,,,,,,,,,
1961-11-05,,,,,,,,,,0.8493788819875776,,,,,,,,,,
1961-11-06,,,,,,,,,,0.8480620155038759,,,,,,,,,,
1961-11-07,,,,,,,,,,0.846749226006192,,,,,,,,,,
1961-11-08,,,,,,,,,,0.8454404945904173,,,,,,,,,,
1961-11-09,,,,,,,,,,0.8441358024691358,,,,,,,,,,
