,score,M096t,N005,M018,M068,T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112
2025-04-24,0.4480987631021458,0.28306176582038656,0.04976559682654169,0.04509663564781674,0.8185567010309278,0.8722854188210962,0.5375651640601042,0.2332741267021906,0.5002949852507375,0.133248730964467,0.9887106357694593,0.760200429491768,0.11327077747989277,0.5468013468013468,0.5794051627384961,0.6018083182640145,0.10623441396508726
2025-04-25,0.4356998125565369,0.31553030303030305,0.049026676279740444,0.10840787119856887,0.7727975270479135,0.8987080103359173,0.5913549969343961,0.07692307692307687,0.4722877358490566,0.21750158528852248,0.998812351543943,0.6688125894134478,0.10649698593436034,0.45625841184387617,0.4678821879382889,0.7165582067968186,0.053838484546360865
2025-04-26,0.45429952500690507,0.26202196137826583,0.10198198198198194,0.11230329041487841,0.8635427394438723,0.9245867768595042,0.6294820717131474,0.24955647545830872,0.40188568061284624,0.17490494296577952,0.9833827893175074,0.7269478198713367,0.12182061579651941,0.49024882313382645,0.43045429052159284,0.7448500180701121,0.05082212257100149
2025-04-27,0.48608953301391683,0.3050719152157456,0.5079250720461095,0.21380050053628885,0.8661863098301595,0.9220443985544656,0.6274509803921569,0.1542553191489362,0.4546525323910483,0.16086130462317927,0.972123368920522,0.7778571428571428,0.13444816053511705,0.428763440860215,0.42781048500140173,0.7763728323699421,0.047808764940239
2025-04-28,0.513388286222553,0.37835792659856227,0.4418437162405473,0.06790564689063616,0.6743827160493827,0.9385964912280702,0.6621745788667688,0.564087418783225,0.44614479105356086,0.2253164556962025,0.978067575577949,0.7516059957173448,0.1163101604278075,0.6185359301544661,0.5266255605381166,0.7685084868183459,0.05574912891986061
2025-04-29,0.557980619247108,0.3161875945537065,0.5421166306695464,0.15648445873526262,0.9110539845758354,0.9370809695719443,0.6932026944274341,0.7131050767414404,0.49764705882352944,0.17014547754585707,0.9614928909952607,0.8081312410841655,0.10354041416165664,0.8536912751677852,0.42869151022695434,0.7505415162454874,0.08457711442786064
2025-04-30,0.538147586817266,0.34782608695652173,0.6200071968333933,0.17714285714285716,0.7785200411099692,0.9443298969072165,0.6890113253749617,0.6501474926253688,0.4932392710170488,0.1441213653603034,0.9437537004144464,0.8018531717747683,0.09279038718291055,0.7699530516431925,0.37282913165266107,0.6943341753879466,0.09050223769269017
2025-05-01,0.48273110919071316,0.3938019652305367,0.41690647482014387,0.08282756158514815,0.965588084232152,0.9438433797011849,0.6533047735618115,0.35023584905660377,0.5411280846063455,0.14592545799115608,0.9988165680473373,0.5391737891737892,0.10406937958639093,0.4865951742627346,0.3080369644357323,0.602092352092352,0.19135188866799202
2025-05-02,0.5157335449124015,0.24253872308273516,0.3096008629989212,0.0860099928622412,0.8865503080082136,0.9613800205973223,0.5876414805750994,0.5391868002357101,0.39635936582501463,0.12247474747474751,0.9923122412773506,0.6498220640569395,0.08733333333333333,0.5994641661085063,0.41209406494960804,0.5975477821853588,0.7814207650273224
2025-05-03,0.5220251581238233,0.2620845921450151,0.4996405463695184,0.19800214056368182,0.8640328373524885,0.9598558929490478,0.5969418960244648,0.5636042402826855,0.3896713615023474,0.10473186119873812,0.9686761229314421,0.6614509246088194,0.09060626249167222,0.6519410977242303,0.17548278757346766,0.5191059841384282,0.8465739821251241
2025-05-04,0.5359216304573551,0.2729331823329558,0.5544376572044556,0.34914407988587737,0.7861538461538462,0.9542181069958848,0.6722714766126567,0.7045320776927604,0.4580645161290322,0.06935687263556112,0.9291199054932073,0.6993603411513859,0.1085219707057257,0.5806020066889632,0.11779518746502518,0.4378378378378378,0.8803970223325062
2025-05-05,0.5097794105126197,0.41283018867924526,0.5104166666666667,0.36007130124777187,0.5899538698103537,0.950642673521851,0.7047677261613692,0.648235294117647,0.5017584994138335,0.05734089477000626,0.8972845336481701,0.578125,0.09181636726546906,0.6109625668449198,0.12111888111888112,0.29574927953890495,0.8253968253968254
2025-05-06,0.5008178803000094,0.32327423613730666,0.533572710951526,0.23235923022095506,0.5496926229508197,0.9429599177800616,0.6718606782768103,0.51440329218107,0.5360281195079086,0.05919395465994959,0.9651917404129794,0.674237047551455,0.11569148936170212,0.3827655310621243,0.3769574944071588,0.24198775657184013,0.8929102627664849
2025-05-07,0.5125445682992046,0.2424585218702866,0.5527638190954773,0.18667616672604204,0.6554019457245264,0.9368258859784283,0.6301160659743433,0.4612220916568742,0.48009367681498827,0.07174323473882949,0.9970518867924528,0.7716312056737589,0.09036544850498339,0.4432576769025367,0.6046966731898239,0.2260619150467963,0.8503468780971258
2025-05-08,0.4930652051116376,0.2623445156426687,0.09580193756727662,0.09722222222222221,0.5,0.9281314168377823,0.627175572519084,0.8649442160892542,0.5114101813926273,0.09182389937106916,0.9976428992339422,0.848334514528703,0.1049136786188579,0.43895930620413615,0.5455561766349916,0.2630442605253689,0.711738484398217
2025-05-09,0.4670089365879706,0.16465712132629995,0.06025824964131998,0.15877536489854038,0.4664961636828644,0.827603899435608,0.6272893772893773,0.8855633802816901,0.5497076023391814,0.11502199874292895,0.9946996466431095,0.9107648725212465,0.1041804910418049,0.32466666666666666,0.3959206482257614,0.45683453237410077,0.42970297029702975
2025-05-10,0.44740081260339376,0.21958568738229756,0.042667622803872374,0.009608540925266862,0.4095092024539877,0.7574358974358975,0.5459261519682637,0.7788856304985338,0.5745178258328463,0.1388190954773869,0.9882283696291937,0.8888888888888888,0.1259946949602122,0.27381745502998,0.4360335195530726,0.6706220783890686,0.2978723404255319
2025-05-11,0.4835948786419634,0.21987951807228912,0.11648745519713266,0.0850231234436144,0.657639243740419,0.7042542286007176,0.45546064673581454,0.5838218053927315,0.5408878504672897,0.36723163841807904,0.9894117647058823,0.9002828854314003,0.12591119946984758,0.3568575233022636,0.5154984641161686,0.8626887131560028,0.25618199802176067
2025-05-12,0.49717603224676227,0.22017312758750474,0.19598710139734865,0.3072546230440967,0.7906026557711952,0.6372950819672132,0.3513266239707228,0.4698301113063855,0.5078809106830122,0.43914680050188204,0.9229864785420341,0.8770318021201413,0.10132450331125828,0.3865602129075183,0.550251256281407,0.8620194035213798,0.33514582303509644
2025-05-13,0.5119290976788466,0.22046651617757718,0.6224928366762177,0.17987913259864918,0.4109239407861154,0.5785970302099335,0.3515243902439025,0.569672131147541,0.5052508751458576,0.5316614420062695,0.9753231492361927,0.8848870056497176,0.10456651224354732,0.49734042553191493,0.48088194250627964,0.8757183908045977,0.40167984189723316
2025-05-14,0.5454160329608684,0.16472358029334333,0.6398138202649482,0.2515991471215352,0.735204081632653,0.5358239508700102,0.3511124657116733,0.6313633703920422,0.4897959183673469,0.4028822055137845,0.9500880798590722,0.8807339449541285,0.08994708994708994,0.42458471760797345,0.5075334821428571,0.8872531418312388,0.7841975308641975
2025-05-15,0.5618700728085186,0.2210526315789474,0.7695060844667144,0.2269982238010657,0.7231004589495156,0.5437340153452686,0.37355271176112126,0.5508771929824561,0.5396270396270396,0.37758296806512215,0.943075117370892,0.8794076163610719,0.07666886979510905,0.6401062416998672,0.45523012552301256,0.8549892318736539,0.8144126357354393
2025-05-16,0.5575823382389835,0.20368282600526122,0.7352415026833632,0.25674715909090906,0.7798165137614679,0.5593047034764826,0.372525129454767,0.42255990648743424,0.551543389633081,0.37984981226533165,0.9730205278592375,0.8675123326286117,0.06472919418758256,0.6994027869940278,0.44311210262130507,0.7735916756368856,0.8386778490379871
2025-05-17,0.5512933084024711,0.14425244177310292,0.6512875536480687,0.29250976215832447,0.6897605705552725,0.6085845682166582,0.3903775883069428,0.6436915887850467,0.5389988358556461,0.38524077548467794,0.9484173505275498,0.8492957746478873,0.07392739273927393,0.75,0.410091998884862,0.6197991391678623,0.8244575936883629
2025-05-18,0.4928074166903846,0.14457378895981976,0.46549874865927776,0.012065294535131277,0.6629327902240325,0.6154239019407559,0.3975646879756469,0.5761821366024518,0.5759162303664922,0.22750000000000004,0.9859402460456942,0.8508092892329345,0.09432717678100264,0.6315440689198144,0.2310479375696767,0.5668698458228756,0.8467225234105471
2025-05-19,0.4821472246439208,0.14489489489489493,0.495711222301644,0.1465058531394111,0.5989821882951654,0.62736089841756,0.39744370054777844,0.5040840140023337,0.5127906976744185,0.2067457838850718,0.9935597189695551,0.8874824191279888,0.08503625576796309,0.542384105960265,0.23265533574811925,0.5584229390681004,0.7802955665024631
2025-05-20,0.46916743445689263,0.20487804878048776,0.41050375133976424,0.041134751773049594,0.7080366225839267,0.6545918367346939,0.40249467599634925,0.44664723032069975,0.48576409064497383,0.19975031210986272,1.0,0.8418833450456782,0.13372859025032938,0.30774321641297153,0.31197771587743733,0.5313507703332139,0.8261939931068439
2025-05-21,0.44902354099607544,0.22280570142535638,0.18678571428571433,0.10563629918468631,0.4875444839857651,0.6527281998980112,0.402676399026764,0.1625874125874126,0.4512195121951219,0.24329382407985023,1.0,0.8890449438202247,0.1685319289005925,0.17063492063492058,0.59676970203286,0.5573065902578797,0.8868110236220472
2025-05-22,0.41314486333540656,0.18860142482189723,0.09675116029989295,0.02232459248759744,0.4710365853658537,0.5784913353720693,0.37792642140468224,0.1025043680838672,0.3679628554846198,0.23004987531172072,1.0,0.8757894736842106,0.16644736842105262,0.14077990746860547,0.5515033407572383,0.5291800930898676,0.9109690113133301
2025-05-23,0.4842510531729172,0.08470764617691151,0.6252676659528908,0.4753808005667729,0.6576942610462164,0.5568008150789607,0.3756838905775076,0.30558789289871946,0.33410672853828305,0.2442367601246106,0.9626168224299065,0.9004207573632539,0.14003944773175542,0.15323645970937916,0.42248817144447537,0.5962777380100215,0.9134709931170109
