,score,y,year
2023-03-12,0.5732072810302554,0.24032403079605516,2023
2023-03-13,0.60399830256098,0.13927528391999539,2023
2023-03-14,0.6165917887585777,0.13035966953830982,2023
2023-03-15,0.5971613064209745,0.11520306410766154,2023
2023-03-16,0.5751843563271529,0.12387257700467694,2023
2023-03-17,0.5186333534759276,0.002163735857737066,2023
2023-03-18,0.46538954651950365,0.020433137044709546,2023
2023-03-19,0.45695164856148146,-0.00017232466008522345,2023
2023-03-20,0.42962969873134343,-0.02159381026329096,2023
2023-03-21,0.4898119953072861,-0.030504542168403814,2023
2023-03-22,0.4947655354924077,0.03948852943235117,2023
2023-03-23,0.4920731994250647,-0.009476680690849991,2023
2023-03-24,0.44819939611369075,0.03615891320520627,2023
2023-03-25,0.3698875441741382,0.03540629023205799,2023
2023-03-26,0.3308968693391244,0.007261175132691117,2023
2023-03-27,0.32962073605312164,0.024583526813822518,2023
2023-03-28,0.33895600459855024,0.032637082436565,2023
2023-03-29,0.4151022588783162,-0.006319709362551624,2023
2023-03-30,0.37727366244842164,0.00018871845421030608,2023
2023-03-31,0.33446213407863046,-0.01983436461957291,2023
2023-04-01,0.31328845092543006,-0.018242743030280832,2023
2023-04-02,0.33399204115997677,0.005377066012506876,2023
2023-04-03,0.3496561359664714,0.06399903211435433,2023
2023-04-04,0.34348310588535763,0.06975907198349075,2023
2023-04-05,0.29070141290486107,0.05920146724498368,2023
2023-04-06,0.32703269354023734,0.08017007318559187,2023
2023-04-07,0.3327129223938096,0.08778828826669591,2023
2023-04-08,0.33832681556145,0.08098428242065812,2023
2023-04-09,0.3543724278677593,0.0676001377130946,2023
2023-04-10,0.3986637201271295,-0.00701131629572132,2023
2023-04-11,0.33304502945412845,0.005928994762609409,2023
2023-04-12,0.3449742766693283,-0.03718471649334746,2023
2023-04-13,0.2956985435612567,-0.07271305806621514,2023
2023-04-14,0.31775323414851864,-0.11111723028727939,2023
2023-04-15,0.24885641363157238,-0.08534370098886505,2023
2023-04-16,0.245424061914342,-0.09382603108473843,2023
2023-04-17,0.26785359762858496,-0.06744035626137959,2023
2023-04-18,0.3014149795838871,-0.07089510687757969,2023
2023-04-19,0.2601562854698168,-0.013347307053247067,2023
2023-04-20,0.3166019875589659,0.042598132659691985,2023
2023-04-21,0.315140633121292,0.07246215092978625,2023
2023-04-22,0.38146061381133656,0.0495690219556948,2023
2023-04-23,0.3535376739544742,0.05783025677044576,2023
2023-04-24,0.36212049121268114,0.02005602031119347,2023
2023-04-25,0.3681464037988736,0.01295667727631774,2023
2023-04-26,0.3829443304017078,0.021270111758113597,2023
2023-04-27,0.3617873652022012,-0.021767276120516346,2023
2023-04-28,0.36903835050624156,0.006593661034186552,2023
2023-04-29,0.41184236945457325,-0.013163374820070569,2023
2023-04-30,0.4555967691666119,-0.027856948705056096,2023
2023-05-01,0.4395759822313639,-0.014334337393497659,2023
2023-05-02,0.4410599587699502,-0.03700687285689205,2023
2023-05-03,0.4282294527088548,-0.05042701048988086,2023
2023-05-04,0.43498727209787136,-0.06702554222592287,2023
2023-05-05,0.3870225710587749,-0.0963647386066741,2023
2023-05-06,0.3199079075428487,-0.07456852553108471,2023
2023-05-07,0.34942501562830725,-0.05466735230379617,2023
2023-05-08,0.433619793409228,-0.01848097124331984,2023
2023-05-09,0.46945290288532804,-0.021750109302254208,2023
2023-05-10,0.47584347387960896,-0.007022744880143238,2023
2023-05-11,0.44374234831211207,-0.00547836558547858,2023
2023-05-12,0.44071290707957167,0.003176512076517088,2023
2023-05-13,0.4120748191419692,0.012144317966935759,2023
2023-05-14,0.413921449565001,-0.006329611520216482,2023
2023-05-15,0.4392660018107571,-0.01158545942488634,2023
2023-05-16,0.3929500397483569,0.006848254849369364,2023
2023-05-17,0.41130569932634237,-0.040076363857104544,2023
2023-05-18,0.3892465757531318,-0.013040415343458666,2023
2023-05-19,0.36786937555551164,-0.006506924551448712,2023
2023-05-20,0.3518642931578162,-0.009198551794372716,2023
2023-05-21,0.347794404344057,0.04807176915026769,2023
2023-05-22,0.34028448886139223,0.03250699746561848,2023
2023-05-23,0.3269070599233286,0.017292557269540144,2023
2023-05-24,0.3138641461971064,0.0329260425253054,2023
2023-05-25,0.31038552423219073,0.012915506717684546,2023
2023-05-26,0.3135195886805191,0.019896293849237134,2023
2023-05-27,0.3101383931616634,0.007972449057592269,2023
2023-05-28,0.2759316251650534,-0.03442842334042318,2023
2023-05-29,0.2656493362875232,-0.07515796337077069,2023
2023-05-30,0.2547408021777576,-0.016907982072544844,2023
2023-05-31,0.26752350692180454,-0.03253377657687683,2023
2023-06-01,0.30472001880015925,-0.011978414880565965,2023
2023-06-02,0.32101162059018806,-0.028474533803848616,2023
2023-06-03,0.30357661541350817,-0.046426784582172274,2023
2023-06-04,0.29686942192142385,-0.04486585611978991,2023
2023-06-05,0.3193898885557773,0.006855668133083072,2023
2023-06-06,0.3610895751702566,-0.04875775568220652,2023
2023-06-07,0.36813830644360634,-0.04705699935637895,2023
2023-06-08,0.3383337586536557,-0.034558913415419855,2023
2023-06-09,0.29442936066104336,-0.005028520059907571,2023
2023-06-10,0.30745710205964333,0.025815155186826866,2023
2023-06-11,0.29929055772330015,0.01585858842837275,2023
2023-06-12,0.30976768403067656,0.03561203577506583,2023
2023-06-13,0.2751849784768295,0.08757960802120021,2023
2023-06-14,0.2771441987868601,0.1769870545553994,2023
2023-06-15,0.27558339893708816,0.15482063997353934,2023
2023-06-16,0.2655440826172533,0.1526094879206046,2023
2023-06-17,0.26235529687058406,0.14083996407763294,2023
2023-06-18,0.2510307975766877,0.1454141139346669,2023
2023-06-19,0.24325387319210165,0.12003534794396804,2023
2023-06-20,0.2954865654673269,0.08087227323953153,2023
2023-06-21,0.27722667134405427,0.002780697398479867,2023
2023-06-22,0.25348739611262006,0.018643643365638625,2023
2023-06-23,0.22319139756605888,-0.007079762405550837,2023
2023-06-24,0.24693005590626682,0.001913494742979158,2023
2023-06-25,0.27182611478216795,0.005054718800362534,2023
2023-06-26,0.2955851967279572,0.028922543896081683,2023
2023-06-27,0.3074431593524671,0.00241039054074665,2023
2023-06-28,0.2790155648334818,0.014109984446189001,2023
2023-06-29,0.2880163871228761,-0.01829202280442442,2023
2023-06-30,0.27913120986248846,-0.004186356244818466,2023
2023-07-01,0.27488275041610066,-0.009898795361891035,2023
2023-07-02,0.2564132604793323,-0.015016306120626025,2023
2023-07-03,0.2861924081404987,-0.02419013423574587,2023
2023-07-04,0.29412963620851323,-0.004704790233132706,2023
2023-07-05,0.2918016747830607,-0.0040998789296586916,2023
2023-07-06,0.23211929597156913,0.050827847401706205,2023
2023-07-07,0.25791850865079025,-0.0010778693128903464,2023
2023-07-08,0.2706241125905597,0.0001614550104498038,2023
2023-07-09,0.3457129751610246,0.0023605512950698885,2023
2023-07-10,0.3317696056603562,-0.00903629411467227,2023
2023-07-11,0.3552716713652351,-0.025231314784857854,2023
2023-07-12,0.33870128689503937,-0.01561803744563472,2023
2023-07-13,0.35825413405730105,-0.054025079795971105,2023
2023-07-14,0.29921359047075474,-0.013627999792845458,2023
2023-07-15,0.3145651841167808,-0.016494747142052544,2023
2023-07-16,0.27854741735050564,-0.004915476407318849,2023
2023-07-17,0.25462256830383784,-0.03242324326324322,2023
2023-07-18,0.24899220937066635,-0.021332367745897578,2023
2023-07-19,0.2580142064657038,-0.0188071354390866,2023
2023-07-20,0.30510905056469984,-0.019559851399505248,2023
2023-07-21,0.34198122932843117,-0.019846010357035704,2023
2023-07-22,0.35897076906301173,-0.014915682068693752,2023
2023-07-23,0.3466326668142008,-0.02704324368830909,2023
2023-07-24,0.33911001203405866,0.0019089611378442556,2023
2023-07-25,0.31783814795256443,0.016190421002117983,2023
2023-07-26,0.3439522801041352,-0.005669839407382013,2023
2023-07-27,0.32525042810002747,-0.000997664780450608,2023
2023-07-28,0.30895225084569344,-0.006851178803667674,2023
2023-07-29,0.29473172781469126,-0.009611365588313086,2023
2023-07-30,0.32362310795229127,-0.006601758341445774,2023
2023-07-31,0.3209259471241506,-0.000725147187198765,2023
2023-08-01,0.3526219092661251,0.0021665741157913913,2023
2023-08-02,0.3251724782995277,0.013476245330193062,2023
2023-08-03,0.3126089451745457,0.008938259888104063,2023
2023-08-04,0.29580681741687936,0.010660842116748984,2023
2023-08-05,0.2739048298115203,0.012240355346923979,2023
2023-08-06,0.26289282472861414,0.007378408621425323,2023
2023-08-07,0.2512843832351132,0.00749875747048133,2023
2023-08-08,0.2719795102976657,-0.019346573816509484,2023
2023-08-09,0.2700133205079651,-0.029206105892783957,2023
2023-08-10,0.27719682327210843,-0.10109823328298626,2023
2023-08-11,0.2618242185859805,-0.12170834950642205,2023
2023-08-12,0.2776005467519229,-0.12008464117698166,2023
2023-08-13,0.24365285263234418,-0.11234128876172378,2023
2023-08-14,0.22785747456932434,-0.11907996174636999,2023
2023-08-15,0.21224294454860848,-0.11392064130030369,2023
2023-08-16,0.24818130389272505,-0.08335698763591591,2023
2023-08-17,0.2670609555831593,-0.016793233601739673,2023
2023-08-18,0.31608557840867535,0.0002306481511072621,2023
2023-08-19,0.3258102755923465,-0.0031713055898215776,2023
2023-08-20,0.38458657460638873,-0.0033741485732290766,2023
2023-08-21,0.4025663344676962,-0.00026489599924598345,2023
2023-08-22,0.4076402250854107,0.0617740629983962,2023
2023-08-23,0.41119500191803865,0.03228369921346416,2023
2023-08-24,0.37587396616048024,-0.00918142250765632,2023
2023-08-25,0.33431857002711607,-0.009831746218675717,2023
2023-08-26,0.35173141017952547,-0.00569933672009461,2023
2023-08-27,0.3485142624992244,-0.00501451131012699,2023
2023-08-28,0.3351427746830045,-0.011318793570688468,2023
2023-08-29,0.29916880561404463,-0.07195388748441112,2023
2023-08-30,0.319615777219529,-0.058065375650000375,2023
2023-08-31,0.32879844801625385,0.012040199262697913,2023
2023-09-01,0.371139077629457,0.004078082748525601,2023
2023-09-02,0.32857730599493384,0.0012400737752464594,2023
2023-09-03,0.34020872938437113,-0.005002633336087928,2023
2023-09-04,0.3258816210446947,-0.02602692503836616,2023
2023-09-05,0.33518154065289885,0.001859305388035622,2023
