date,sum_tickers,total_column,within_tolerance
2026-05-26,-333.6,-333.6,True
2026-05-27,-733.4,-733.4,True
2026-05-28,-223.3,-223.3,True
2026-05-29,-125.3,-125.3,True
2026-06-01,-483.8,-483.8,True
2026-06-02,-519.1,-519.1,True
2026-06-03,-396.6,-396.6,True
2026-06-04,3.2000000000000046,3.2,True
2026-06-05,-325.7,-325.7,True
2026-06-08,-91.4,-91.4,True
2026-06-09,-77.4,-77.4,True
2026-06-10,-213.9,-213.9,True
2026-06-11,-22.5,-22.5,True
2026-06-12,85.9,85.9,True
2026-06-15,-64.8,-64.8,True
2026-06-16,10.199999999999998,10.2,True
2026-06-17,-82.2,-82.2,True
2026-06-18,-90.7,-90.7,True
2026-06-22,-68.3,-68.3,True
2026-06-23,-113.8,-113.8,True
2026-06-24,-469.0,-469.0,True
2026-06-25,-691.6999999999999,-691.7,True
2026-06-26,-444.5,-444.5,True
2026-06-29,-230.99999999999997,-231.0,True
2026-06-30,-222.6,-222.6,True
2026-07-01,-296.0,-296.0,True
2026-07-02,223.5,223.5,True
2026-07-06,265.7,265.7,True
2026-07-07,21.5,21.5,True
2026-07-08,-84.9,-84.9,True
2026-07-09,-95.3,-95.3,True
2026-07-10,90.39999999999999,90.4,True
2026-07-13,-424.7,-424.7,True
2026-07-14,181.1,181.1,True
2026-07-15,107.69999999999999,107.7,True
2026-07-16,79.1,79.1,True
2026-07-17,132.3,132.3,True
2026-07-20,226.8,226.8,True
2026-07-21,203.20000000000002,203.2,True
2026-07-22,69.1,69.1,True
2026-07-23,-225.1,-225.1,True
2026-07-24,-240.1,-240.1,True
2026-07-27,-11.600000000000001,-11.6,True
2026-07-28,-49.699999999999996,-49.7,True
2026-07-29,32.099999999999994,32.1,True
2026-07-30,233.1,233.1,True
2026-07-31,-265.4,-265.4,True
2026-08-03,170.1,170.1,True
2026-08-04,211.5,211.5,True
2026-08-05,244.4,244.4,True
2026-08-06,137.60000000000002,137.6,True
2026-08-07,101.7,101.7,True
2026-08-10,-144.6,-144.6,True
2026-08-11,7.8000000000000025,7.8,True
2026-08-12,-61.099999999999994,-61.1,True
2026-08-13,-131.1,-131.1,True
2026-08-14,-56.2,-56.2,True
2026-08-17,297.5,297.5,True
2026-08-18,189.29999999999998,189.3,True
2026-08-19,517.2,517.2,True
2026-08-20,606.3,606.3,True
2026-08-21,307.5,307.5,True
2026-08-24,337.6,337.6,True
2026-08-25,314.29999999999995,314.3,True
2026-08-26,232.20000000000002,232.2,True
2026-08-27,242.30000000000004,242.3,True
2026-08-28,-201.9,-201.9,True
2026-08-31,216.70000000000002,216.7,True
2026-09-01,-236.5,-236.5,True
