fid,name,system,sign,price,horizon,window,slice,n,n_eff,ic,lo,hi,signed_ic,sign_ok,ci_excludes_0,status
M059,200W MA distance,cycle,-1,cm,1,holdout,full,1329,1329.0,-0.0242,-0.0612,0.0113,0.0242,True,False,ok
M059,200W MA distance,cycle,-1,cm,7,dev,full,3143,449.0,-0.0249,-0.0967,0.0524,0.0249,True,False,ok
M059,200W MA distance,cycle,-1,cm,7,dev,ex_2020-03_2022-01,2434,347.7,-0.0231,-0.1066,0.0646,0.0231,True,False,ok
M059,200W MA distance,cycle,-1,cm,7,dev,ex_2017,2771,395.9,-0.1043,-0.1849,-0.0233,0.1043,True,True,ok
M059,200W MA distance,cycle,-1,cm,7,dev,since_2022,358,51.1,-0.174,-0.3436,-0.0373,0.174,True,True,ok
M059,200W MA distance,cycle,-1,cm,7,holdout,full,1323,189.0,-0.0899,-0.2001,-0.0035,0.0899,True,True,ok
M059,200W MA distance,cycle,-1,cm,30,dev,full,3120,104.0,-0.0833,-0.2203,0.0578,0.0833,True,False,ok
M059,200W MA distance,cycle,-1,cm,30,dev,ex_2020-03_2022-01,2388,79.6,-0.0826,-0.2293,0.0624,0.0826,True,False,ok
M059,200W MA distance,cycle,-1,cm,30,dev,ex_2017,2725,90.8,-0.2181,-0.3475,-0.0781,0.2181,True,True,ok
M059,200W MA distance,cycle,-1,cm,30,dev,since_2022,335,11.2,,,,,,,insufficient
M059,200W MA distance,cycle,-1,cm,30,holdout,full,1300,43.3,-0.2691,-0.4437,-0.1228,0.2691,True,True,ok
M059,200W MA distance,cycle,-1,cm,90,dev,full,3060,34.0,-0.1787,-0.4188,0.0644,0.1787,True,False,ok
M059,200W MA distance,cycle,-1,cm,90,dev,ex_2020-03_2022-01,2268,25.2,,,,,,,insufficient
M059,200W MA distance,cycle,-1,cm,90,dev,ex_2017,2605,28.9,,,,,,,insufficient
M059,200W MA distance,cycle,-1,cm,90,dev,since_2022,275,3.1,,,,,,,insufficient
M059,200W MA distance,cycle,-1,cm,90,holdout,full,1240,13.8,,,,,,,insufficient
M059,200W MA distance,cycle,-1,cm,180,dev,full,2970,16.5,-0.3468,-0.576,-0.1248,0.3468,True,True,ok
M059,200W MA distance,cycle,-1,cm,180,dev,ex_2020-03_2022-01,2088,11.6,-0.2819,-0.6363,0.0805,0.2819,True,False,ok
M059,200W MA distance,cycle,-1,cm,180,dev,ex_2017,2425,13.5,-0.6042,-0.7583,-0.3934,0.6042,True,True,ok
M059,200W MA distance,cycle,-1,cm,180,dev,since_2022,185,1.0,,,,,,,insufficient
M059,200W MA distance,cycle,-1,cm,180,holdout,full,1150,6.4,,,,,,,insufficient
M059,200W MA distance,cycle,-1,cm,365,dev,full,2785,7.6,,,,,,,insufficient
M059,200W MA distance,cycle,-1,cm,365,dev,ex_2020-03_2022-01,1749,4.8,,,,,,,insufficient
M059,200W MA distance,cycle,-1,cm,365,dev,ex_2017,2055,5.6,,,,,,,insufficient
M059,200W MA distance,cycle,-1,cm,365,dev,since_2022,0,0.0,,,,,,,insufficient
M059,200W MA distance,cycle,-1,cm,365,holdout,full,965,2.6,,,,,,,insufficient
M058,2Y MA multiplier,cycle,-1,cm,1,dev,full,3819,3819.0,0.0578,0.0222,0.087,-0.0578,False,True,ok
M058,2Y MA multiplier,cycle,-1,cm,1,dev,ex_2020-03_2022-01,3116,3116.0,0.0697,0.0268,0.1064,-0.0697,False,True,ok
M058,2Y MA multiplier,cycle,-1,cm,1,dev,ex_2017,3453,3453.0,0.042,0.007,0.0759,-0.042,False,True,ok
M058,2Y MA multiplier,cycle,-1,cm,1,dev,since_2022,364,364.0,-0.0631,-0.1419,0.0,0.0631,True,False,ok
M058,2Y MA multiplier,cycle,-1,cm,1,holdout,full,1329,1329.0,-0.0068,-0.0451,0.028,0.0068,True,False,ok
M058,2Y MA multiplier,cycle,-1,cm,7,dev,full,3813,544.7,0.0709,-0.0017,0.1423,-0.0709,False,False,ok
M058,2Y MA multiplier,cycle,-1,cm,7,dev,ex_2020-03_2022-01,3104,443.4,0.0823,-0.0158,0.1617,-0.0823,False,False,ok
M058,2Y MA multiplier,cycle,-1,cm,7,dev,ex_2017,3441,491.6,0.0313,-0.0499,0.1044,-0.0313,False,False,ok
M058,2Y MA multiplier,cycle,-1,cm,7,dev,since_2022,358,51.1,-0.1739,-0.3365,-0.0236,0.1739,True,True,ok
M058,2Y MA multiplier,cycle,-1,cm,7,holdout,full,1323,189.0,-0.0351,-0.1355,0.0579,0.0351,True,False,ok
M058,2Y MA multiplier,cycle,-1,cm,30,dev,full,3790,126.3,0.0593,-0.0684,0.2052,-0.0593,False,False,ok
M058,2Y MA multiplier,cycle,-1,cm,30,dev,ex_2020-03_2022-01,3058,101.9,0.0692,-0.0865,0.2096,-0.0692,False,False,ok
M058,2Y MA multiplier,cycle,-1,cm,30,dev,ex_2017,3395,113.2,-0.0069,-0.1448,0.1072,0.0069,True,False,ok
M058,2Y MA multiplier,cycle,-1,cm,30,dev,since_2022,335,11.2,,,,,,,insufficient
M058,2Y MA multiplier,cycle,-1,cm,30,holdout,full,1300,43.3,-0.1525,-0.3361,0.0351,0.1525,True,False,ok
M058,2Y MA multiplier,cycle,-1,cm,90,dev,full,3730,41.4,0.0697,-0.1483,0.2648,-0.0697,False,False,ok
M058,2Y MA multiplier,cycle,-1,cm,90,dev,ex_2020-03_2022-01,2938,32.6,0.1034,-0.1331,0.335,-0.1034,False,False,ok
M058,2Y MA multiplier,cycle,-1,cm,90,dev,ex_2017,3275,36.4,-0.0456,-0.2472,0.1574,0.0456,True,False,ok
M058,2Y MA multiplier,cycle,-1,cm,90,dev,since_2022,275,3.1,,,,,,,insufficient
M058,2Y MA multiplier,cycle,-1,cm,90,holdout,full,1240,13.8,,,,,,,insufficient
M058,2Y MA multiplier,cycle,-1,cm,180,dev,full,3640,20.2,0.0538,-0.2274,0.2792,-0.0538,False,False,ok
M058,2Y MA multiplier,cycle,-1,cm,180,dev,ex_2020-03_2022-01,2758,15.3,0.1223,-0.2549,0.3898,-0.1223,False,False,ok
M058,2Y MA multiplier,cycle,-1,cm,180,dev,ex_2017,3095,17.2,-0.0665,-0.411,0.2072,0.0665,True,False,ok
M058,2Y MA multiplier,cycle,-1,cm,180,dev,since_2022,185,1.0,,,,,,,insufficient
M058,2Y MA multiplier,cycle,-1,cm,180,holdout,full,1150,6.4,,,,,,,insufficient
M058,2Y MA multiplier,cycle,-1,cm,365,dev,full,3455,9.5,-0.1597,-0.5061,0.1577,0.1597,True,False,ok
M058,2Y MA multiplier,cycle,-1,cm,365,dev,ex_2020-03_2022-01,2419,6.6,,,,,,,insufficient
M058,2Y MA multiplier,cycle,-1,cm,365,dev,ex_2017,2725,7.5,,,,,,,insufficient
M058,2Y MA multiplier,cycle,-1,cm,365,dev,since_2022,0,0.0,,,,,,,insufficient
M058,2Y MA multiplier,cycle,-1,cm,365,holdout,full,965,2.6,,,,,,,insufficient
O072,Puell Multiple,cycle,-1,cm,1,dev,full,4184,4184.0,0.0488,0.0195,0.0785,-0.0488,False,True,ok
O072,Puell Multiple,cycle,-1,cm,1,dev,ex_2020-03_2022-01,3481,3481.0,0.0616,0.0299,0.095,-0.0616,False,True,ok
